Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Surface Ground Temperature [C](TimeStep),EMS:BEE_var [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](TimeStep),DX COOLING COIL_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Defrost Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Crankcase Heater Electricity Energy [J](TimeStep),MAIN DX HEATING COIL_UNIT1:Heating Coil Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER EVAPORATOR_UNIT1:Cooling Coil Runtime Fraction [](TimeStep),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](TimeStep),SUPPLY FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OASUPPLYFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OASUPPLYFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Electricity Energy [J](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Electricity Energy [J](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Air Mass Flow Rate [kg/s](TimeStep),SUPPLY FAN_UNIT1:Fan Runtime Fraction [](TimeStep),OASUPPLYFAN_UNIT1:Fan Runtime Fraction [](TimeStep),OAEXHAUSTFAN_UNIT1:Fan Runtime Fraction [](TimeStep),HEAT PUMP WATER HEATER FAN_UNIT1:Fan Runtime Fraction [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Dewpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total Building Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),OCCUPANCY:Schedule Value [](TimeStep),OA_HEAT_RECOVERY_UNIT1:Heat Exchanger Electricity Energy [J](TimeStep),SUPP HEATING COIL_UNIT1:Heating Coil Electricity Energy [J](TimeStep),Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 01/21  01:00:00,-1.6,20.97,13.0,0.0,0.0,0.0,7849147.106044336,3928072.0330311546,45468.01524865421,0.9368499788213136,0.0,833288.2669987158,0.34379743123541586,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9218980460036335,1.0,1.0,0.0,20.001276074913034,0.28253870437591196,0.8256866263898399,-1.378377377753309,20.0,26.0,740.2246706245592,3545.277299573811,1.0,0.0,0.0,2507363.126376901,2507363.126376901,12733118.27846572 
 01/21  02:00:00,-1.6,20.97,13.0,12733118.27846572,0.0,0.0,7933351.820729343,3970211.9216502408,38231.71650758984,0.9469003937394586,0.0,842227.684215009,0.34809622911421919,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9317880583684957,1.0,1.0,0.0,20.00161013981162,0.23325743161374608,0.8470561995721916,-1.3825791746857155,20.0,26.0,679.4312682558734,3580.846111179178,1.0,0.0,0.0,2288506.8778496326,2288506.8778496326,12861166.00024504 
 01/21  03:00:00,-1.6,20.97,13.0,12861166.00024504,0.0,0.0,7978967.0926489899,3993039.889005917,34311.67787317087,0.9523448918428182,0.0,847070.334043463,0.35043128307613499,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9371456634028391,1.0,1.0,0.0,20.000975580775664,0.18689159070738169,0.8593226953413385,-1.3877602871526545,20.0,26.0,658.9075088286876,3600.1144029762219,1.0,0.0,0.0,2214621.3439117635,2214621.3439117635,12930531.850714399 
 01/21  04:00:00,-1.6,20.97,13.0,12930531.850714399,0.0,0.0,8007760.354655535,4007449.353588451,31837.271940100214,0.9557815667498608,0.0,850127.1104134969,0.35190750748678875,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.940527489685782,1.0,1.0,0.0,20.00137435199846,0.14679586709292917,0.8674397014812519,-1.3926590644896913,20.0,26.0,643.6687072935786,3612.2769299279009,1.0,0.0,0.0,2159761.658385371,2159761.658385371,12974316.947740443 
 01/21  05:00:00,-1.6,20.97,13.0,12974316.947740443,0.0,0.0,7998272.608032856,4002701.2514492606,32652.620216002153,0.9546491385888859,0.0,849119.8636599166,0.35142087650877,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9394131348451534,1.0,1.0,0.0,20.00092993000888,0.11565762012317894,0.8661344194153585,-1.3971388634972369,20.0,26.0,683.5481417172584,3608.2692223613596,1.0,0.0,0.0,2299781.9639543166,2299781.9639543166,12959889.200500895 
 01/21  06:00:00,-1.6,20.97,13.0,12959889.200500895,0.0,0.0,7916886.147024142,3961971.7458053256,39646.726751962065,0.944935101733386,0.0,840479.6404439593,0.3472544398724617,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9298541320182977,1.0,1.0,0.0,20.00174718167713,0.10261199526964966,0.8496524384146639,-1.4011467278758839,20.0,26.0,831.6659052068616,3573.8908658800689,1.0,0.0,0.0,2827244.217687898,2827244.217687898,12836127.117168248 
 01/21  07:00:00,-1.6,20.97,13.0,12836127.117168248,0.0,0.0,7822542.015317172,3914757.6293883479,47754.37635390922,0.9336744772862372,0.0,830463.793250694,0.3424423282752189,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9187732248194013,1.0,1.0,0.0,20.001604544806268,0.12361680180055376,0.8286491484822084,-1.4033192738674694,20.0,26.0,949.6122479534823,3534.0390754036059,1.0,0.0,0.0,3406194.2883854808,3406194.2883854808,12692660.67145298 
 01/21  08:00:00,-1.6,20.97,13.0,12692660.67145298,0.0,0.0,8378232.677039334,4192850.6397291168,0.0,1.0,1.0,903883.3205157175,0.37707938860237436,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,38841.428571428565,0.09064312267173463,1.0,1.0,1.0,1.0,20.000216035327648,0.14797352543229895,0.9940267356189492,-1.397014316376479,20.0,26.0,1057.9506694471839,4689.918677918326,0.8831,0.0,1615770.08541395,3797542.2276464195,3797542.2276464195,15206721.008412406 
 01/21  09:00:00,-1.6,20.97,13.0,15206721.008412406,0.0,0.0,8378232.677039334,4192850.6397291168,0.0,1.0,0.7813524398428048,903883.3205157175,0.37707938860237436,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,30348.84498126574,0.07082422505453051,1.0,1.0,1.0,0.7813524398428048,20.000772591675127,0.09202635399350716,0.9936366999897699,-1.3939197843559235,20.0,26.0,946.8005581827413,4516.0158793889499,0.40861,0.0,1329169.4000682424,3403606.7292179537,3403606.7292179537,14911627.739476536 
 01/21  10:00:00,-1.6,20.97,13.0,14911627.739476536,0.0,0.0,8162686.426050656,4084981.442108736,18523.393500058384,0.9742730645832523,0.0,866574.5123798006,0.35988113220633097,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9587238670201038,1.0,1.0,0.0,20.001527698586398,-0.010774974362346026,0.9136921102554433,-1.4016607715875285,20.0,26.0,907.9148232421412,3677.7190642172524,0.24189,0.0,0.0,3265169.3089626759,3265169.3089626759,13209908.631182109 
 01/21  11:00:00,-1.6,20.97,13.0,13209908.631182109,0.0,0.0,8187572.740823354,4097435.6916906505,16384.738806754554,0.977243418323952,0.0,869216.5158776017,0.36116679493175388,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,0.0,0.0,0.9616468145265295,1.0,1.0,0.0,20.000395852148075,-0.09921700122951748,0.9175175283408524,-1.4133646496381234,20.0,26.0,927.8850431811844,3688.231262317005,0.24189,0.0,0.0,3337062.1007432315,3337062.1007432315,13247752.544341218 
 01/21  12:00:00,-1.6,20.97,13.0,13247752.544341218,0.0,0.0,8378232.677039334,4192850.6397291168,0.0,1.0,1.0,903883.3205157175,0.37707938860237436,38571.428571428594,0.03398513588362889,38571.428571428594,0.03398513588362889,38841.428571428565,0.09064312267173463,1.0,1.0,1.0,1.0,20.000490766884693,-0.1576782964900917,1.0350605945110556,-1.4229741674343908,20.0,26.0,940.7449161731125,4969.054321285883,0.24189,0.0,2614141.3431613075,3383357.6435141728,3383357.6435141728,16205092.266159764 
