Date/Time,Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 01/21  01:00:00,2507363.126376901,2507363.126376901,12733118.27846572 
 01/21  02:00:00,2288506.8778496326,2288506.8778496326,12861166.00024504 
 01/21  03:00:00,2214621.3439117635,2214621.3439117635,12930531.850714399 
 01/21  04:00:00,2159761.658385371,2159761.658385371,12974316.947740443 
 01/21  05:00:00,2299781.9639543166,2299781.9639543166,12959889.200500895 
 01/21  06:00:00,2827244.217687898,2827244.217687898,12836127.117168248 
 01/21  07:00:00,3406194.2883854808,3406194.2883854808,12692660.67145298 
 01/21  08:00:00,3797542.2276464195,3797542.2276464195,15206721.008412406 
 01/21  09:00:00,3403606.7292179537,3403606.7292179537,14911627.739476536 
 01/21  10:00:00,3265169.3089626759,3265169.3089626759,13209908.631182109 
 01/21  11:00:00,3337062.1007432315,3337062.1007432315,13247752.544341218 
 01/21  12:00:00,3383357.6435141728,3383357.6435141728,16205092.266159764 
 01/21  13:00:00,3320956.43067169,3320956.43067169,14338367.731810205 
 01/21  14:00:00,3254793.064694836,3254793.064694836,13264028.680890674 
 01/21  15:00:00,3249699.055634444,3249699.055634444,13260424.178121847 
 01/21  16:00:00,3510426.619465768,3510426.619465768,13209085.297060235 
 01/21  17:00:00,4395337.575518478,4395337.575518478,15618649.866008478 
 01/21  18:00:00,5507493.433711505,5507493.433711505,13202934.116481746 
 01/21  19:00:00,5888567.229445574,5888567.229445574,12039895.651351167 
 01/21  20:00:00,5797708.816103766,5797708.816103766,11918480.309723422 
 01/21  21:00:00,5725296.910954915,5725296.910954915,13755603.37146977 
 01/21  22:00:00,5254487.803661637,5254487.803661637,12680638.98536258 
 01/21  23:00:00,4189416.702401155,4189416.702401155,12156520.897354195 
 01/21  24:00:00,3246680.6811934115,3246680.6811934115,12456004.708973974 
 07/21  01:00:00,2507363.126376901,2507363.126376901,1555949.3942979694 
 07/21  02:00:00,2288506.8778496326,2288506.8778496326,1188350.0479979944 
 07/21  03:00:00,2214621.3439117635,2214621.3439117635,949817.0757035553 
 07/21  04:00:00,2159761.658385371,2159761.658385371,762300.3670167849 
 07/21  05:00:00,2299781.9639543166,2299781.9639543166,651100.3306905355 
 07/21  06:00:00,2827244.217687898,2827244.217687898,661459.7650502173 
 07/21  07:00:00,3406194.2883854808,3406194.2883854808,1372631.2966591665 
 07/21  08:00:00,3797542.2276464195,3797542.2276464195,2760428.251495199 
 07/21  09:00:00,3403606.7292179537,3403606.7292179537,3126723.2987757648 
 07/21  10:00:00,3265169.3089626759,3265169.3089626759,4360740.5767084 
 07/21  11:00:00,3337062.1007432315,3337062.1007432315,5629555.37468921 
 07/21  12:00:00,3383357.6435141728,3383357.6435141728,6019879.08230194 
 07/21  13:00:00,3320956.43067169,3320956.43067169,6263154.772665659 
 07/21  14:00:00,3254793.064694836,3254793.064694836,6318228.58596201 
 07/21  15:00:00,3249699.055634444,3249699.055634444,6288283.022968824 
 07/21  16:00:00,3510426.619465768,3510426.619465768,7432592.727185566 
 07/21  17:00:00,4395337.575518478,4395337.575518478,7480021.067968525 
 07/21  18:00:00,5507493.433711505,5507493.433711505,7264387.7358016599 
 07/21  19:00:00,5888567.229445574,5888567.229445574,6458554.551544173 
 07/21  20:00:00,5797708.816103766,5797708.816103766,5141926.08717804 
 07/21  21:00:00,5725296.910954915,5725296.910954915,3055637.451622548 
 07/21  22:00:00,5254487.803661637,5254487.803661637,3476033.2473073045 
 07/21  23:00:00,4189416.702401155,4189416.702401155,2690196.5820564564 
 07/21  24:00:00,3246680.6811934115,3246680.6811934115,2055207.2172183644 
 08/01  01:00:00,2486500.2610301256,2486500.2610301256,3548919.338078145 
 08/01  02:00:00,2275929.455018319,2275929.455018319,2570922.3212914338 
