Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,1.590316E-01,5.532669E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.816311E+02,7.268393E-02,1.060413E+03,1.914895E+03
02:00:00,1.617787E-01,5.615522E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.954278E+02,5.374011E-02,7.801531E+02,1.539408E+03
03:00:00,1.631537E-01,5.656992E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,8.057753E+02,4.119274E-02,5.933151E+02,1.279590E+03
04:00:00,1.639745E-01,5.681746E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,8.161228E+02,3.398514E-02,4.815869E+02,1.112968E+03
05:00:00,1.637406E-01,5.674694E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,8.230212E+02,3.398514E-02,4.746886E+02,1.105844E+03
06:00:00,1.614088E-01,5.604378E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,8.161228E+02,3.398514E-02,4.815869E+02,1.112968E+03
07:00:00,1.587230E-01,5.523379E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.919786E+02,5.465885E-02,7.964988E+02,1.679996E+03
08:00:00,1.582886E-01,5.510269E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.333426E+02,1.125893E-01,1.669938E+03,3.147519E+03
09:00:00,1.650904E-01,5.715360E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,6.678083E+02,1.609318E-01,2.415443E+03,4.142716E+03
10:00:00,1.686440E-01,5.822545E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,6.091723E+02,2.050232E-01,3.094317E+03,4.846024E+03
11:00:00,1.692116E-01,5.839694E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,5.574346E+02,2.409425E-01,3.651292E+03,5.319877E+03
12:00:00,1.694524E-01,5.846978E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,5.229429E+02,2.586805E-01,3.935293E+03,5.466861E+03
13:00:00,1.696561E-01,5.853134E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,4.953495E+02,2.684565E-01,4.100329E+03,5.532678E+03
14:00:00,1.696797E-01,5.853849E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,4.781036E+02,2.934116E-01,4.468389E+03,5.894493E+03
15:00:00,1.695698E-01,5.850533E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,4.781036E+02,3.242150E-01,4.901628E+03,6.282551E+03
16:00:00,1.685105E-01,5.818589E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,4.987986E+02,3.498005E-01,5.240938E+03,6.591612E+03
17:00:00,1.640373E-01,5.683703E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,5.263920E+02,3.711156E-01,5.513436E+03,6.871326E+03
18:00:00,1.557552E-01,5.433945E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,5.608838E+02,3.770794E-01,5.562924E+03,6.958753E+03
19:00:00,1.472963E-01,5.178833E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,6.126214E+02,3.478630E-01,5.100277E+03,6.502768E+03
20:00:00,1.448402E-01,5.104711E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,6.505624E+02,2.761096E-01,4.053021E+03,5.356480E+03
21:00:00,1.438286E-01,5.074174E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,6.816050E+02,2.263945E-01,3.322583E+03,4.551397E+03
22:00:00,1.442694E-01,5.087463E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.126475E+02,1.814569E-01,2.659414E+03,3.812468E+03
23:00:00,1.489911E-01,5.229851E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.367918E+02,1.376632E-01,2.019258E+03,3.070237E+03
24:00:00,1.543111E-01,5.390302E+03,3.398514E-02,0.000000E+00,0.000000E+00,3.398514E-02,7.609360E+02,1.011748E-01,1.481864E+03,2.422523E+03
Coinc Peak   ,1.696797E-01,3.770794E-01,5.853849E+03,5.562924E+03
NonCoinc Peak,1.696797E-01,3.770794E-01,5.853849E+03,5.562924E+03
