Time,LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,3.743189E+03,7.980611E+02,1.223320E-01,5.591072E-02
02:00:00,3.807869E+03,5.900579E+02,1.244451E-01,4.133854E-02
03:00:00,3.840243E+03,4.522869E+02,1.255028E-01,3.168672E-02
04:00:00,3.859566E+03,3.465765E+02,1.261342E-01,2.428092E-02
05:00:00,3.854061E+03,2.810043E+02,1.259543E-01,1.968683E-02
06:00:00,3.799172E+03,2.864870E+02,1.241606E-01,2.007175E-02
07:00:00,3.735941E+03,6.000910E+02,1.220946E-01,4.204527E-02
08:00:00,3.725705E+03,1.236139E+03,1.217605E-01,8.660714E-02
09:00:00,3.885799E+03,1.766931E+03,1.269927E-01,1.237937E-01
10:00:00,3.969474E+03,2.251102E+03,1.297262E-01,1.577102E-01
11:00:00,3.982867E+03,2.645491E+03,1.301628E-01,1.853404E-01
12:00:00,3.988557E+03,2.840260E+03,1.303480E-01,1.989850E-01
13:00:00,3.993366E+03,2.947540E+03,1.305047E-01,2.065050E-01
14:00:00,3.993925E+03,3.221366E+03,1.305228E-01,2.257012E-01
15:00:00,3.991335E+03,3.559553E+03,1.304383E-01,2.493962E-01
16:00:00,3.966399E+03,3.840585E+03,1.296235E-01,2.690773E-01
17:00:00,3.861106E+03,4.074859E+03,1.261826E-01,2.854736E-01
18:00:00,3.666140E+03,4.140422E+03,1.198117E-01,2.900611E-01
19:00:00,3.466989E+03,3.819670E+03,1.133049E-01,2.675869E-01
20:00:00,3.409114E+03,3.031800E+03,1.114156E-01,2.123920E-01
21:00:00,3.385268E+03,2.485841E+03,1.106374E-01,1.741496E-01
22:00:00,3.395641E+03,1.992398E+03,1.109765E-01,1.395822E-01
23:00:00,3.506795E+03,1.511538E+03,1.146085E-01,1.058947E-01
24:00:00,3.632051E+03,1.110893E+03,1.187009E-01,7.782674E-02
Peak,3.993925E+03,4.140422E+03,1.305228E-01,2.900611E-01

Peak Vol Flow (m3/s),,,1.087533E-01,2.416826E-01
